State,Stab,PUMA,pumaName,cbsa,pctcbsa,CBSAName,CBSAType,pctcbsatype,csa,pctcsa,CSAName,PctUrban,pctnecta,TotPopACS,MedianAge,pctUnder18,pctOver65,pctWhite1,pctBlack1,pctAsian1,pctHispanicPop,TotHHs,MedianHHInc,FamHHs,MedianFamInc,PovUniverse,pctPoor,pctGrpQuarters,pctInCollege,pctBachelorsormore,pctForeignBorn,TotHUs,OccHUs,pctRenterOcc,MedianHValue,MedianGrossRent,ACSYears,TotPop10,Period
"FIPS state" ," " ," " ," " ,"Primary Core Based Stat Area (metro/micro area)" ,"% PUMA in CBSA" ,"Name of CBSA" ,"Primary CBSA type" ,"% PUMA in CBSAtype areas" ,"Consolidated Stat Area" ,"% PUMA in CSA" ,"Name of CSA" ,"% PUMA that is Urban (2010)" ,"% PUMA in NECTA" ,"Total Pop ACS 2013 Single-year Est" ,"Median age in years" ,"% Under 18" ,"% Over65" ,"% White1" ,"% Black1" ,"% Asian1" ,"% Hispanic Pop" ,"Total households" ,"Median household income" ,"Family households" ,"Median family income" ,"Persons for whom poverty status is determined" ,"% Poor" ,"% Group Quarters" ,"% In College" ,"% Bachelors degree or more" ,"% Foreign Born" ,"Total housing units" ,"Occupied housing units" ,"% Renter Occ HUs" ,"Median home value" ,"Median rent" ," " ,"Total Pop 2010 Census" ," "
06,CA,01308,Contra Costa County (Northeast)--Antioch City,41860,100.0,"San Francisco County, CA",Metro,100.0,488,100.0,"San Jose-San Francisco-Oakland, CA",99.3,,"112,093",33.8,26.8,11.4,48.5,21.1,11.3,30.8,"35,328",$60462,"27,138",$63953,110871,15.4,0.6,25.3,20.1,21.1,"38,998","35,328",40.1,243400,"$1,329",2013,107213,1
06,CA,01309,Contra Costa County (East)--Brentwood & Oakley Cities,41860,100.0,"San Francisco County, CA",Metro,100.0,488,100.0,"San Jose-San Francisco-Oakland, CA",96.7,,"108,411",37.8,27.8,11.7,72.0,4.4,9.0,26.7,"33,921",$91164,"25,930",102680,107653,7.2,0.5,21.8,24.3,15.3,"36,091","33,921",22.2,348000,"$1,748",2013,103685,1
06,CA,01500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",,54.1,,,54.1,,100.0,,38.3,,"132,315",43.1,19.6,17.8,84.1,3.4,1.6,13.2,"48,888",$42220,"30,198",$52184,116521,19.4,11.7,23.7,18.6,5.5,"67,262","48,888",34.6,177600,$778,2013,138098,1
06,CA,01700,El Dorado County--El Dorado Hills,40900,100.0,"Placer County, CA",Metro,100.0,472,100.0,"Sacramento-Roseville, CA",65.3,,"181,737",44.5,21.4,17.6,87.3,1.8,4.2,12.5,"66,751",$61365,"46,091",$85139,180640,12.3,1.0,20.4,33.5,8.0,"88,483","66,751",27.0,352900,"$1,018",2013,181058,1
06,CA,01901,"Fresno County (West)--Selma, Kerman & Coalinga Cities",23420,100.0,"Fresno County, CA",Metro,100.0,260,100.0,"Fresno-Madera, CA",63.0,,"155,193",29.6,30.1,9.1,66.6,1.1,3.9,73.6,"39,975",$40760,"32,330",$43464,149154,27.4,3.9,22.1,9.4,32.6,"43,183","39,975",51.6,160800,$753,2013,144724,1
06,CA,01902,Fresno County (North Central)--Fresno City (North),23420,100.0,"Fresno County, CA",Metro,100.0,260,100.0,"Fresno-Madera, CA",99.8,,"175,461",36.4,23.3,14.6,67.6,5.9,10.1,28.6,"66,232",$63021,"43,773",$74977,172619,13.6,1.6,35.4,36.1,12.2,"71,592","66,232",41.3,242100,"$1,104",2013,173649,1
06,CA,01903,Fresno County (Central)--Fresno City (East Central),23420,100.0,"Fresno County, CA",Metro,100.0,260,100.0,"Fresno-Madera, CA",100.0,,"106,748",27.7,32.8,7.8,42.7,5.6,18.6,51.1,"32,704",$28125,"22,253",$28354,105565,48.5,1.0,28.7,15.0,22.3,"35,054","32,704",63.2,123900,$765,2013,101880,1
06,CA,01904,Fresno County (Central)--Fresno City (Southwest),23420,100.0,"Fresno County, CA",Metro,100.0,260,100.0,"Fresno-Madera, CA",98.0,,"172,461",29.3,30.5,8.7,54.5,11.0,7.3,57.7,"50,479",$36998,"36,190",$37325,168766,36.7,2.7,22.3,13.2,16.8,"56,052","50,479",54.8,136700,$839,2013,170140,1
06,CA,01905,Fresno County (Central)--Fresno City (Southeast),23420,100.0,"Fresno County, CA",Metro,100.0,260,100.0,"Fresno-Madera, CA",99.0,,"111,795",28.6,33.3,10.3,40.9,7.5,21.5,58.6,"30,239",$31748,"23,739",$35410,110632,40.4,1.6,18.4,12.0,30.0,"31,992","30,239",55.2,162900,$787,2013,108177,1
06,CA,01906,Fresno County (Central)--Clovis City,23420,100.0,"Fresno County, CA",Metro,100.0,260,100.0,"Fresno-Madera, CA",97.1,,"104,628",36.2,25.6,13.9,71.5,3.0,11.3,26.1,"34,953",$66637,"26,385",$75402,103826,11.7,0.4,31.8,32.1,12.7,"36,806","34,953",37.2,256400,"$1,053",2013,102642,1
06,CA,01907,"Fresno County (East)--Sanger, Reedley & Parlier Cities",23420,100.0,"Fresno County, CA",Metro,100.0,260,100.0,"Fresno-Madera, CA",69.7,,"128,986",33.0,30.0,11.4,84.4,0.3,2.6,62.8,"38,935",$46533,"30,501",$50794,127428,28.0,0.7,14.4,15.7,21.4,"46,117","38,935",37.9,182400,$803,2013,129238,1
06,CA,02300,Humboldt County,21700,100.0,"Humboldt County, CA",Micro,100.0,,100.0,,70.2,,"134,493",37.5,19.4,14.7,81.7,1.1,2.2,10.5,"53,191",$42092,"28,730",$50170,131135,21.8,3.1,40.7,28.3,6.2,"61,976","53,191",45.6,259500,$914,2013,134623,1
06,CA,02500,Imperial County--El Centro City,20940,100.0,"Imperial County, CA",Metro,100.0,,100.0,,82.6,,"176,584",31.9,28.7,11.4,69.2,2.6,1.5,81.8,"47,430",$43310,"37,079",$47116,165902,22.1,5.6,23.3,12.7,33.4,"56,492","47,430",45.9,148400,$759,2013,174528,1
06,CA,02901,"Kern County (West)--Delano, Wasco & Shafter Cities",12540,100.0,"Kern County, CA",Metro,100.0,,100.0,,84.9,,"197,414",30.2,30.3,8.0,79.5,3.8,5.3,62.2,"47,965",$44864,"39,866",$48052,176458,23.7,10.7,19.8,11.7,26.5,"54,494","47,965",43.1,179100,$813,2013,189962,1
06,CA,02902,Kern County (Central)--Bakersfield City (West),12540,100.0,"Kern County, CA",Metro,100.0,,100.0,,99.5,,"210,408",31.8,28.2,9.5,72.1,6.3,8.7,36.0,"65,680",$68703,"48,785",$76574,208750,10.8,0.7,29.7,22.6,16.4,"68,633","65,680",39.0,211800,"$1,135",2013,200370,1
06,CA,02903,Kern County (Central)--Bakersfield City (Northeast),12540,100.0,"Kern County, CA",Metro,100.0,,100.0,,99.1,,"160,009",27.4,34.7,8.6,69.3,6.5,2.5,65.2,"48,507",$36039,"34,191",$37031,158004,32.6,1.7,21.4,15.4,21.4,"54,456","48,507",61.5,130700,$807,2013,155144,1
06,CA,02904,Kern County (Central)--Bakersfield City (Southeast),12540,100.0,"Kern County, CA",Metro,100.0,,100.0,,98.0,,"100,739",29.2,32.3,8.2,67.6,7.5,3.7,72.8,"27,390",$34897,"22,384",$35763,100496,32.4,0.4,19.2,3.9,29.8,"29,881","27,390",52.4,100200,$839,2013,107850,1
06,CA,02905,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",12540,100.0,"Kern County, CA",Metro,100.0,,100.0,,71.9,,"195,554",35.6,25.2,13.0,81.1,4.6,1.5,32.4,"67,641",$45414,"46,299",$55625,187636,21.9,3.1,22.6,12.5,13.2,"80,919","67,641",43.2,122000,$862,2013,186305,1
06,CA,03100,Kings County--Hanford City,25260,100.0,"Kings County, CA",Metro,100.0,546,100.0,"Visalia-Porterville-Hanford, CA",89.1,,"150,960",31.6,27.7,8.8,66.7,6.7,3.6,52.7,"41,813",$45774,"32,104",$46260,133031,21.4,11.5,20.3,12.9,19.0,"44,522","41,813",49.6,169200,$825,2013,152982,1
